2026-02-25 18:24:30 | ERROR | backend.services.metrics_service | Metrics calculation failed: Could not convert string '0.83330.92220.9222v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0' to numeric
2026-02-25 18:24:39 | INFO | root | Prediction request received.
2026-02-25 18:24:39 | INFO | backend.services.model_service | Logged 1 predictions.
2026-02-25 18:25:07 | INFO | root | Metrics requested.
2026-02-25 18:25:07 | ERROR | backend.services.metrics_service | Metrics calculation failed: Could not convert string '0.83330.92220.9222v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0' to numeric
2026-02-25 18:26:47 | INFO | root | Prediction request received.
2026-02-25 18:26:47 | INFO | backend.services.model_service | Logged 1 predictions.
2026-02-25 18:26:54 | INFO | root | Metrics requested.
2026-02-25 18:26:54 | ERROR | backend.services.metrics_service | Metrics calculation failed: Could not convert string '0.83330.92220.9222v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0' to numeric
2026-02-25 18:26:55 | INFO | root | Prediction request received.
2026-02-25 18:26:55 | INFO | backend.services.model_service | Logged 1 predictions.
2026-02-25 21:32:44 | INFO | root | Application initialized successfully.
2026-02-25 21:32:57 | INFO | root | Application initialized successfully.
2026-02-25 21:33:03 | INFO | root | Application initialized successfully.
2026-02-25 21:33:55 | INFO | root | Application initialized successfully.
2026-02-25 21:34:02 | INFO | root | Application initialized successfully.
2026-02-25 21:42:23 | INFO | root | Application initialized successfully.
2026-02-25 21:43:13 | INFO | root | Application initialized successfully.
2026-02-25 21:43:24 | INFO | root | Application initialized successfully.
2026-02-25 21:43:34 | INFO | root | Application initialized successfully.
2026-02-25 21:52:32 | INFO | root | Application initialized successfully.
2026-02-25 21:52:51 | INFO | root | Application initialized successfully.
2026-02-25 21:52:57 | INFO | root | Application initialized successfully.
2026-02-25 21:53:08 | INFO | root | Application initialized successfully.
2026-02-25 21:53:15 | INFO | root | Application initialized successfully.
2026-02-25 21:53:48 | INFO | root | Application initialized successfully.
2026-02-25 21:54:02 | INFO | root | Application initialized successfully.
2026-02-25 21:54:29 | INFO | root | Application initialized successfully.
2026-02-25 21:54:33 | INFO | root | Application initialized successfully.
2026-02-25 21:54:38 | INFO | root | Application initialized successfully.
2026-02-25 21:54:45 | INFO | root | Application initialized successfully.
2026-02-25 21:54:52 | INFO | root | Application initialized successfully.
2026-02-25 21:55:33 | INFO | root | Application initialized successfully.
2026-02-25 22:18:35 | INFO | root | Metrics requested.
2026-02-25 22:18:35 | ERROR | backend.services.metrics_service | Metrics calculation failed: Could not convert string '0.83330.92220.9222v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0' to numeric
2026-02-25 22:30:01 | INFO | root | Prediction request received.
2026-02-25 22:30:01 | INFO | backend.services.model_service | Logged 1 predictions.
2026-02-25 22:30:31 | INFO | root | Prediction request received.
2026-02-25 22:30:31 | INFO | backend.services.model_service | Logged 1 predictions.
2026-02-25 22:30:43 | INFO | root | Prediction request received.
2026-02-25 22:30:43 | INFO | backend.services.model_service | Logged 1 predictions.
2026-02-25 22:31:13 | INFO | root | Metrics requested.
2026-02-25 22:31:13 | ERROR | backend.services.metrics_service | Metrics calculation failed: Could not convert string '0.83330.92220.9222v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0v_1.0.0' to numeric
2026-02-25 22:31:17 | INFO | root | Prediction request received.
2026-02-25 22:31:17 | INFO | backend.services.model_service | Logged 1 predictions.
2026-02-25 22:31:45 | INFO | root | Metrics requested.
